date,hour,area,status,latitude,longitude,data_source,road_corridor,location,direction,lane,day_of_week,has_disruption,disruption_type,disruption_description,month,day_of_month,is_weekend,time_category,status_encoded,is_rush_hour,is_peak_am,is_peak_pm,is_holiday,avg_volume,total_volume,volume_count,status_lag_1h,status_lag_2h,status_lag_3h,status_lag_24h,volume_rolling_avg_3h,volume_rolling_avg_6h,volume_rolling_avg_24h
2024-01-04,18,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Thursday,1,roadwork,Concreting of Road,1,4,0,evening_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,19,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Thursday,1,roadwork,Concreting of Road,1,4,0,evening_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,20,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Thursday,1,roadwork,Concreting of Road,1,4,0,night,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-04,21,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Thursday,1,roadwork,Concreting of Road,1,4,0,night,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,6,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,7,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,8,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,9,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,morning,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,10,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,morning,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2024-01-05,11,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,morning,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,12,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,lunch,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,13,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,lunch,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,14,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,afternoon,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,15,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,afternoon,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,16,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,afternoon,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-05,17,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,evening_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,18,Turbina,heavy,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,evening_rush,2,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,19,Turbina,heavy,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,evening_rush,2,1,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,20,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,night,0,0,0,0,0,0.0,0.0,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2024-01-05,21,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Friday,1,roadwork,Concreting of Road,1,5,0,night,0,0,0,0,0,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-01-06,6,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Saturday,1,roadwork,Concreting of Road,1,6,1,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2024-01-06,7,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Saturday,1,roadwork,Concreting of Road,1,6,1,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06,8,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Saturday,1,roadwork,Concreting of Road,1,6,1,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-06,9,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Saturday,1,roadwork,Concreting of Road,1,6,1,morning,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
